Order #,Date Created,Time Created,Shipped Quantity,Ship                Date,Order Type,SKU,Unit cube F ,Large Lines,Timestamp,Time Bucket,Hour
C01557368194,20260101,143,1,20260111,eCom,271115.0,0.22287037,OK,12:01:43 AM,12AM-2AM,0
C01557368194,20260101,143,1,20260111,eCom,710221.0,0.3378125,OK,12:01:43 AM,12AM-2AM,0
C01558657425,20260101,143,1,20260111,eCom,940950.0,0.192709491,OK,12:01:43 AM,12AM-2AM,0
C01557718035,20260101,143,1,20260111,eCom,34899.0,0.227587963,OK,12:01:43 AM,12AM-2AM,0
C01559077059,20260101,143,1,20260111,eCom,661076.0,0.271435185,OK,12:01:43 AM,12AM-2AM,0
C01557587342,20260101,143,1,20260111,eCom,65567.0,0.141863426,OK,12:01:43 AM,12AM-2AM,0
C01558191046,20260101,143,1,20260111,eCom,38375.0,0.271435185,OK,12:01:43 AM,12AM-2AM,0
C01560365412,20260101,143,1,20260111,eCom,909446.0,0.0121875,OK,12:01:43 AM,12AM-2AM,0
C01560366828,20260101,143,1,20260111,eCom,125076.0,0.08125,OK,12:01:43 AM,12AM-2AM,0
C01560367794,20260101,143,1,20260111,eCom,914462.0,0.059222222,OK,12:01:43 AM,12AM-2AM,0
C01560362582,20260101,143,0,20260111,eCom,497976.0,0.357939815,OK,12:01:43 AM,12AM-2AM,0
C01560362582,20260101,143,1,20260111,eCom,494374.0,0.27421875,OK,12:01:43 AM,12AM-2AM,0
C01560368269,20260101,143,1,20260111,eCom,154409.0,0.273523148,OK,12:01:43 AM,12AM-2AM,0
C01560362975,20260101,143,1,20260111,eCom,456132.0,0.325572917,OK,12:01:43 AM,12AM-2AM,0
C01560367304,20260101,143,1,20260111,eCom,265277.0,0.30765162,OK,12:01:43 AM,12AM-2AM,0
C01560364448,20260101,143,1,20260111,eCom,1001442.0,0.18375,OK,12:01:43 AM,12AM-2AM,0
C01560366385,20260101,143,1,20260111,eCom,831848.0,0.037888889,OK,12:01:43 AM,12AM-2AM,0
C01560361109,20260101,143,1,20260111,eCom,758486.0,0.365596065,OK,12:01:43 AM,12AM-2AM,0
C01560361636,20260101,143,1,20260111,eCom,782915.0,0.331665509,OK,12:01:43 AM,12AM-2AM,0
C01560367796,20260101,143,1,20260111,eCom,457065.0,0.32195544,OK,12:01:43 AM,12AM-2AM,0
C01560363961,20260101,143,2,20260111,eCom,1019269.0,0.011569444,OK,12:01:43 AM,12AM-2AM,0
C01560363961,20260101,143,1,20260111,eCom,917667.0,0.029895833,OK,12:01:43 AM,12AM-2AM,0
C01560366389,20260101,143,1,20260111,eCom,1166177.0,0.338722222,OK,12:01:43 AM,12AM-2AM,0
C01560366389,20260101,143,1,20260111,eCom,422535.0,0.363842014,OK,12:01:43 AM,12AM-2AM,0
C01560366389,20260101,143,1,20260111,eCom,909446.0,0.0121875,OK,12:01:43 AM,12AM-2AM,0
C01560360641,20260101,143,1,20260111,eCom,12489.0,0.261925926,OK,12:01:43 AM,12AM-2AM,0
C01560360641,20260101,143,1,20260111,eCom,932896.0,0.093683333,OK,12:01:43 AM,12AM-2AM,0
C01560362580,20260101,143,1,20260111,eCom,926401.0,0.2175,OK,12:01:43 AM,12AM-2AM,0
