Order #,Date Created,Time Created,Shipped Quantity,Ship                Date,Order Type,SKU,Unit cube F ,Large Lines,Timestamp,Time Bucket,Hour
C01560859500,20260101,44,1,20260114,eCom,814729.0,0.365231481,OK,12:00:44 AM,12AM-2AM,0
C01560863379,20260101,44,1,20260114,eCom,729554.0,0.329190394,OK,12:00:44 AM,12AM-2AM,0
C01560862923,20260101,44,1,20260114,eCom,920603.0,0.274392361,OK,12:00:44 AM,12AM-2AM,0
C01560863870,20260101,44,1,20260114,eCom,1001439.0,0.11833912,OK,12:00:44 AM,12AM-2AM,0
C01560859503,20260101,44,1,20260114,eCom,471498.0,0.331665509,OK,12:00:44 AM,12AM-2AM,0
P00001027408263,20260101,44,1,20260114,eCom,310860.0,0.300181713,OK,12:00:44 AM,12AM-2AM,0
C01560867120,20260101,44,1,20260114,eCom,924270.0,0.226326389,OK,12:00:44 AM,12AM-2AM,0
C01560860447,20260101,44,1,20260114,eCom,69630.0,0.2125,OK,12:00:44 AM,12AM-2AM,0
C01560859504,20260101,44,1,20260114,eCom,904951.0,0.021487269,OK,12:00:44 AM,12AM-2AM,0
C01560866245,20260101,44,1,20260114,eCom,1048701.0,0.092838542,OK,12:00:44 AM,12AM-2AM,0
C01560866245,20260101,44,1,20260114,eCom,908579.0,0.036111111,OK,12:00:44 AM,12AM-2AM,0
C01560865272,20260101,44,1,20260114,eCom,14068.0,0.044780093,OK,12:00:44 AM,12AM-2AM,0
C01560865272,20260101,44,1,20260114,eCom,610056.0,0.2603125,OK,12:00:44 AM,12AM-2AM,0
C01560866253,20260101,44,1,20260114,eCom,404024.0,0.33280787,OK,12:00:44 AM,12AM-2AM,0
C01560866255,20260101,44,1,20260114,eCom,904765.0,0.038676505,OK,12:00:44 AM,12AM-2AM,0
C01560862927,20260101,45,1,20260114,eCom,504723.0,0.257213542,OK,12:00:45 AM,12AM-2AM,0
C01560862926,20260101,45,1,20260114,eCom,926576.0,0.271371528,OK,12:00:45 AM,12AM-2AM,0
C01560859506,20260101,45,1,20260114,eCom,1080651.0,0.20475,OK,12:00:45 AM,12AM-2AM,0
C01560860450,20260101,45,1,20260114,eCom,1095921.0,0.281104167,OK,12:00:45 AM,12AM-2AM,0
C01560869105,20260101,45,1,20260114,eCom,47288.0,0.104912037,OK,12:00:45 AM,12AM-2AM,0
C01560869105,20260101,45,1,20260114,eCom,501760.0,0.086362269,OK,12:00:45 AM,12AM-2AM,0
C01560859957,20260101,45,1,20260114,eCom,1121662.0,0.081741898,OK,12:00:45 AM,12AM-2AM,0
C01560859957,20260101,45,1,20260114,eCom,295795.0,0.192901042,OK,12:00:45 AM,12AM-2AM,0
C01560868611,20260101,45,1,20260114,eCom,835825.0,0.275625,OK,12:00:45 AM,12AM-2AM,0
C01560868611,20260101,45,1,20260114,eCom,1100892.0,0.108486111,OK,12:00:45 AM,12AM-2AM,0
C01560867612,20260101,45,1,20260114,eCom,3280.0,0.043178819,OK,12:00:45 AM,12AM-2AM,0
