Order #,Date Created,Time Created,Shipped Quantity,Ship                Date,Order Type,SKU,Unit cube F ,Large Lines,Timestamp,Time Bucket,Hour
C01561823676,20260101,228,1,20260121,eCom,1127513.0,0.2266875,OK,12:02:28 AM,12AM-2AM,0
C01561820222,20260101,228,1,20260120,eCom,1161461.0,0.2515625,OK,12:02:28 AM,12AM-2AM,0
C01561820220,20260101,228,1,20260120,eCom,1089092.0,0.108854167,OK,12:02:28 AM,12AM-2AM,0
C01561816356,20260101,228,1,20260120,eCom,833895.0,0.029333333,OK,12:02:28 AM,12AM-2AM,0
C01561816356,20260101,228,1,20260120,eCom,139427.0,0.334140625,OK,12:02:28 AM,12AM-2AM,0
C01561818249,20260101,228,1,20260120,eCom,38250.0,0.281590278,OK,12:02:28 AM,12AM-2AM,0
C01561824646,20260101,228,1,20260120,eCom,62300.0,0.051106481,OK,12:02:28 AM,12AM-2AM,0
C01561824646,20260101,228,1,20260120,eCom,36845.0,0.051106481,OK,12:02:28 AM,12AM-2AM,0
C01561817830,20260101,228,1,20260120,eCom,31813.0,0.1035,OK,12:02:28 AM,12AM-2AM,0
C01561817830,20260101,228,1,20260120,eCom,561320.0,0.335,OK,12:02:28 AM,12AM-2AM,0
C01561817830,20260101,228,1,20260120,eCom,423544.0,0.440625,OK,12:02:28 AM,12AM-2AM,0
C01561817830,20260101,228,1,20260120,eCom,778995.0,0.38599537,OK,12:02:28 AM,12AM-2AM,0
C01561820716,20260101,228,1,20260120,eCom,47633.0,0.2784375,OK,12:02:28 AM,12AM-2AM,0
C01561820716,20260101,228,1,20260120,eCom,704900.0,0.27546875,OK,12:02:28 AM,12AM-2AM,0
C01561820716,20260101,228,1,20260120,eCom,704907.0,0.293015625,OK,12:02:28 AM,12AM-2AM,0
C01561820716,20260101,228,1,20260120,eCom,728896.0,0.279739583,OK,12:02:28 AM,12AM-2AM,0
C01561821715,20260101,228,1,20260120,eCom,477049.0,0.31,OK,12:02:28 AM,12AM-2AM,0
C01561821222,20260101,228,1,20260120,eCom,524603.0,0.305229167,OK,12:02:28 AM,12AM-2AM,0
C01561816852,20260101,229,1,20260120,eCom,318451.0,0.368634259,OK,12:02:29 AM,12AM-2AM,0
C01561816852,20260101,229,1,20260120,eCom,631418.0,0.277604167,OK,12:02:29 AM,12AM-2AM,0
C01561820717,20260101,259,1,20260120,eCom,754685.0,0.261203704,OK,12:02:59 AM,12AM-2AM,0
C01561815879,20260101,259,1,20260120,eCom,423397.0,0.2803125,OK,12:02:59 AM,12AM-2AM,0
P00001027519184,20260101,259,1,20260119,eCom,518404.0,0.429582176,OK,12:02:59 AM,12AM-2AM,0
C01561823227,20260101,259,1,20260120,eCom,6823.0,0.228070023,OK,12:02:59 AM,12AM-2AM,0
C01561823682,20260101,259,1,20260120,eCom,35786.0,0.070449653,OK,12:02:59 AM,12AM-2AM,0
C01561821229,20260101,259,1,20260120,eCom,1165505.0,0.328020833,OK,12:02:59 AM,12AM-2AM,0
C01561814989,20260101,259,1,20260120,eCom,993403.0,0.362622685,OK,12:02:59 AM,12AM-2AM,0
C01561819238,20260101,259,1,20260120,eCom,1037286.0,0.281590278,OK,12:02:59 AM,12AM-2AM,0
C01561823226,20260101,259,1,20260120,eCom,1124252.0,0.18140162,OK,12:02:59 AM,12AM-2AM,0
C01561823226,20260101,259,1,20260120,eCom,1072852.0,0.217388889,OK,12:02:59 AM,12AM-2AM,0
C01561815443,20260101,259,1,20260120,eCom,13385.0,0.120555556,OK,12:02:59 AM,12AM-2AM,0
C01561817349,20260101,259,1,20260120,eCom,910056.0,0.266388889,OK,12:02:59 AM,12AM-2AM,0
C01561824651,20260101,259,1,20260120,eCom,524969.0,0.308583333,OK,12:02:59 AM,12AM-2AM,0
C01561823223,20260101,259,1,20260120,eCom,40434.0,0.052046296,OK,12:02:59 AM,12AM-2AM,0
C01561817835,20260101,259,2,20260120,eCom,757807.0,0.254114583,OK,12:02:59 AM,12AM-2AM,0
C01561814993,20260101,259,1,20260120,eCom,201521.0,0.3378125,OK,12:02:59 AM,12AM-2AM,0
C01561816854,20260101,259,1,20260120,eCom,278404.0,0.362944444,OK,12:02:59 AM,12AM-2AM,0
C01561816854,20260101,259,1,20260120,eCom,1103899.0,0.26,OK,12:02:59 AM,12AM-2AM,0
C01561816854,20260101,259,1,20260120,eCom,1082837.0,0.076916667,OK,12:02:59 AM,12AM-2AM,0
C01561819236,20260101,259,1,20260120,eCom,906721.0,0.037171875,OK,12:02:59 AM,12AM-2AM,0
C01561819236,20260101,259,1,20260120,eCom,910126.0,0.065552083,OK,12:02:59 AM,12AM-2AM,0
C01561819236,20260101,259,1,20260120,eCom,932382.0,0.098708333,OK,12:02:59 AM,12AM-2AM,0
C01561818253,20260101,259,1,20260120,eCom,42283.0,0.208638889,OK,12:02:59 AM,12AM-2AM,0
C01561818253,20260101,259,1,20260120,eCom,64344.0,0.161181134,OK,12:02:59 AM,12AM-2AM,0
C01561817834,20260101,259,1,20260120,eCom,909431.0,0.005347222,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,265351.0,0.268125,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,399132.0,0.27421875,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,921134.0,0.061238426,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,1110211.0,0.056761574,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,1110210.0,0.045520833,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,1104220.0,0.06453125,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,1065387.0,0.059583333,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,1101343.0,0.087885417,OK,12:02:59 AM,12AM-2AM,0
C01561818254,20260101,259,1,20260120,eCom,1102261.0,0.049461806,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,1131753.0,0.18528125,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,51998.0,0.209027778,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,939856.0,0.0725625,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,1048593.0,0.055,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,342248.0,0.254527778,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,1091325.0,0.022930556,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,1069083.0,0.05715625,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,915356.0,0.084972222,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,936209.0,0.174230324,OK,12:02:59 AM,12AM-2AM,0
C01561820727,20260101,259,1,20260120,eCom,1127023.0,0.124430556,OK,12:02:59 AM,12AM-2AM,0
C01561824655,20260101,259,1,20260120,eCom,386701.0,0.225555556,OK,12:02:59 AM,12AM-2AM,0
C01561824655,20260101,259,1,20260120,eCom,48785.0,0.106741898,OK,12:02:59 AM,12AM-2AM,0
C01561816364,20260101,259,1,20260120,eCom,433065.0,0.259337963,OK,12:02:59 AM,12AM-2AM,0
C01561816364,20260101,259,1,20260120,eCom,1095610.0,0.080041667,OK,12:02:59 AM,12AM-2AM,0
C01561816364,20260101,259,1,20260120,eCom,1100791.0,0.085583333,OK,12:02:59 AM,12AM-2AM,0
C01560656089,20260101,259,1,20260120,eCom,1081892.0,0.038480903,OK,12:02:59 AM,12AM-2AM,0
